sku_id,category,base_demand
SKU0218,groceries,27
SKU0219,dairy,20
SKU0220,beverages,18
SKU0221,personal_care,14
SKU0222,household,2
SKU0223,snacks,24
SKU0224,staples,9
SKU0225,groceries,25
SKU0226,dairy,34
SKU0227,beverages,18
SKU0228,personal_care,4
SKU0229,household,4
SKU0230,snacks,24
SKU0231,staples,16
SKU0232,groceries,32
SKU0233,dairy,25
SKU0234,beverages,13
SKU0235,personal_care,14
SKU0236,household,7
SKU0237,snacks,5
SKU0238,staples,23
SKU0239,groceries,23
SKU0240,dairy,32
SKU0241,beverages,13
SKU0242,personal_care,7
SKU0243,household,7
SKU0244,snacks,26
SKU0245,staples,12
SKU0246,groceries,26
SKU0247,dairy,20
SKU0248,beverages,13
SKU0249,personal_care,12
SKU0250,household,6
SKU0251,snacks,11
SKU0252,staples,29
SKU0253,groceries,52
SKU0254,dairy,34
SKU0255,beverages,8
SKU0256,personal_care,6
SKU0257,household,8
SKU0258,snacks,15
SKU0259,staples,25
SKU0260,groceries,38
SKU0261,dairy,16
SKU0262,beverages,17
SKU0263,personal_care,2
SKU0264,household,3
SKU0265,snacks,18
SKU0266,staples,12
SKU0267,groceries,47
SKU0268,dairy,12
SKU0269,beverages,15
SKU0270,personal_care,8
SKU0271,household,9
SKU0272,snacks,9
SKU0273,staples,30
SKU0274,groceries,30
SKU0275,dairy,16
SKU0276,beverages,20
SKU0277,personal_care,8
SKU0278,household,4
SKU0279,snacks,20
SKU0280,staples,19
SKU0281,groceries,31
SKU0282,dairy,30
SKU0283,beverages,27
SKU0284,personal_care,4
SKU0285,household,10
SKU0286,snacks,6
SKU0287,staples,20
SKU0288,groceries,36
SKU0289,dairy,27
SKU0290,beverages,14
SKU0291,personal_care,7
SKU0292,household,4
SKU0293,snacks,15
SKU0294,staples,28
SKU0295,groceries,33
SKU0296,dairy,18
SKU0297,beverages,23
SKU0298,personal_care,8
SKU0299,household,7
SKU0300,snacks,24
SKU0301,staples,15
SKU0302,groceries,24
SKU0303,dairy,31
SKU0304,beverages,21
SKU0305,personal_care,7
SKU0306,household,6
SKU0307,snacks,28
SKU0308,staples,17
SKU0309,groceries,35
SKU0310,dairy,23
SKU0311,beverages,16
SKU0312,personal_care,11
